id,code,name,type,parent_code,create_time,update_time,is_deleted
1,11,北京市,PROVINCE,,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2,1101,市辖区,CITY,11,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3,110101,东城区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
4,110102,西城区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
5,110105,朝阳区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
6,110106,丰台区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
7,110107,石景山区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
8,110108,海淀区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
9,110109,门头沟区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
10,110111,房山区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
11,110112,通州区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
12,110113,顺义区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
13,110114,昌平区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
14,110115,大兴区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
15,110116,怀柔区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
16,110117,平谷区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
17,110118,密云区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
18,110119,延庆区,COUNTY,1101,2023-09-11 00:00:00,2023-09-11 00:00:00,0
19,12,天津市,PROVINCE,,2023-09-11 00:00:00,2023-09-11 00:00:00,0
20,1201,市辖区,CITY,12,2023-09-11 00:00:00,2023-09-11 00:00:00,0
21,120101,和平区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
22,120102,河东区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
23,120103,河西区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
24,120104,南开区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
25,120105,河北区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
26,120106,红桥区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
27,120110,东丽区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
28,120111,西青区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
29,120112,津南区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
30,120113,北辰区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
31,120114,武清区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
32,120115,宝坻区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
33,120116,滨海新区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
34,120117,宁河区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
35,120118,静海区,COUNTY,1201,2023-09-11 00:00:00,2023-09-11 00:00:00,0
